ID,PolyArea,PolyPerimeter,DigitalArea,DigitalPerimeter,Circularity
0,2195,224.848,2231,304,0.545589
1,2450,242.539,2499,278,0.523377
2,2440.5,247.474,2436,332,0.500761
3,2146,217.519,2206,266,0.569961
4,1749.5,216.65,1776,258,0.468387
5,2511,239.974,2507,318,0.547936
6,2528.5,257.692,2597,296,0.478487
7,2290.5,233.863,2354,278,0.526279
8,2492,242.698,2486,326,0.531651
9,2335,244.153,2396,302,0.492236
10,2492,234.566,2461,296,0.569149
11,2579.5,245.778,2566,312,0.53661
12,2441,250.537,2495,310,0.48869
13,2004,239.432,2036,310,0.43928
14,2317,239.924,2387,300,0.50581
15,2374.5,242.189,2440,296,0.508712
16,2126,228.114,2135,266,0.513416
17,2464,246.131,2479,334,0.511115
18,2331.5,222.897,2308,286,0.589708
19,2192.5,219.334,2175,282,0.572715
20,2156.5,208.447,2228,236,0.623689
21,2260,225.02,2247,284,0.560888
22,2425,242.553,2425,318,0.517976
23,2505.5,242.908,2471,300,0.533605
24,2459.5,244.474,2484,326,0.517121
25,2964.5,270.751,2990,360,0.508185
26,3891,315.057,3897,400,0.492597
27,2072,215.296,2133,262,0.561731
28,2460.5,250.534,2470,324,0.492605
29,2418,243.419,2445,324,0.512809
30,1950.5,210.329,1987,280,0.554061
31,2522.5,254.084,2527,296,0.491005
32,2351,252.871,2386,340,0.462024
33,2621,244.464,2601,284,0.551121
34,2419,234.829,2395,272,0.551244
35,2408.5,248.858,2443,338,0.488712
36,2814,272.995,2780,348,0.474488
37,2276.5,239.77,2320,322,0.497609
38,2483.5,251.671,2449,312,0.492728
39,2734.5,249.641,2739,330,0.551387
40,2071,227.286,2090,306,0.503783
41,2225,231.239,2296,270,0.5229
42,2258,227.179,2282,302,0.549789
43,2240.5,237.396,2210,278,0.499583
44,2624,256.173,2650,348,0.502467
45,2408,236.855,2432,276,0.53939
46,2685.5,229.699,2714,298,0.63961
47,2506.5,223.778,2529,300,0.62899
48,2136,227.353,2106,286,0.519288
49,2120.5,229.227,2141,310,0.507129
50,1935,210.904,1963,272,0.546666
51,2874,274.344,2878,366,0.47985
52,2144.5,217.591,2148,292,0.569184
53,2164,237.59,2206,326,0.481738
54,2313.5,235.614,2324,314,0.523692
55,2342.5,212.796,2341,256,0.650076
56,1862,218.863,1860,294,0.488476
57,2288,241.153,2323,276,0.494402
58,857,124.764,897,154,0.691848
59,2038.5,225.027,2064,308,0.505885
60,2504.5,249.52,2528,338,0.505499
61,2767.5,235.266,2756,284,0.628315
62,2251.5,236.519,2310,306,0.505766
63,2458,243.217,2518,284,0.52216
64,2034.5,217.105,2073,286,0.542408
65,2663,252.781,2652,338,0.523711
66,2319.5,237.471,2341,276,0.516872
67,2269.5,239.023,2303,324,0.499184
68,2480.5,243.802,2472,326,0.524416
69,2251,233.874,2277,314,0.517158
70,2023.5,225.698,2005,288,0.499178
71,2538,248.847,2544,338,0.515035
72,1843.5,206.959,1877,282,0.54086
73,2303,232.37,2302,310,0.535972
74,2396.5,234.078,2458,308,0.549623
75,2225.5,232.116,2292,270,0.51907
76,2408,243.102,2385,292,0.512024
77,2317.5,242.458,2354,276,0.495402
78,1846,214.843,1861,294,0.502574
79,2464.5,253.855,2533,290,0.480582
80,1970,220.562,2031,250,0.508878
81,2303.5,238.556,2279,294,0.508647
82,2245,229.1,2305,282,0.537497
83,2051,215.275,2043,272,0.556148
84,1943.5,225.349,1948,304,0.480933
85,2421.5,236.478,2429,306,0.544145
86,1927,220.602,1968,262,0.497591
87,2173,229.617,2202,310,0.517919
88,1887,214.17,1948,250,0.51697
