ID,PolyArea,PolyPerimeter,DigitalArea,DigitalPerimeter,Circularity
0,2195,224.848,2231,304,0.545589
1,2450,242.539,2499,278,0.523377
2,2440.5,247.474,2436,332,0.500761
3,2146,217.519,2206,266,0.569961
4,1749.5,216.65,1776,258,0.468387
5,2511,239.974,2507,318,0.547936
6,2528.5,257.692,2597,296,0.478487
7,2290.5,233.863,2354,278,0.526279
8,2492,242.698,2486,326,0.531651
9,2335,244.153,2396,302,0.492236
10,2492,234.566,2461,296,0.569149
11,2579.5,245.778,2566,312,0.53661
12,2441,250.537,2495,310,0.48869
13,2004,239.432,2036,310,0.43928
14,2317,239.924,2387,300,0.50581
15,2374.5,242.189,2440,296,0.508712
16,2126,228.114,2135,266,0.513416
17,2464,246.131,2479,334,0.511115
18,2331.5,222.897,2308,286,0.589708
19,2192.5,219.334,2175,282,0.572715
20,2260,225.02,2247,284,0.560888
21,2425,242.553,2425,318,0.517976
22,2505.5,242.908,2471,300,0.533605
23,2459.5,244.474,2484,326,0.517121
24,2964.5,270.751,2990,360,0.508185
25,3891,315.057,3897,400,0.492597
26,2072,215.296,2133,262,0.561731
27,2460.5,250.534,2470,324,0.492605
28,2418,243.419,2445,324,0.512809
29,1950.5,210.329,1987,280,0.554061
30,2522.5,254.084,2527,296,0.491005
31,2351,252.871,2386,340,0.462024
32,2621,244.464,2601,284,0.551121
33,2419,234.829,2395,272,0.551244
34,2408.5,248.858,2443,338,0.488712
35,2814,272.995,2780,348,0.474488
36,2276.5,239.77,2320,322,0.497609
37,2483.5,251.671,2449,312,0.492728
38,2734.5,249.641,2739,330,0.551387
39,2071,227.286,2090,306,0.503783
40,2225,231.239,2296,270,0.5229
41,2258,227.179,2282,302,0.549789
42,2240.5,237.396,2210,278,0.499583
43,2624,256.173,2650,348,0.502467
44,2408,236.855,2432,276,0.53939
45,2136,227.353,2106,286,0.519288
46,2120.5,229.227,2141,310,0.507129
47,1935,210.904,1963,272,0.546666
48,2874,274.344,2878,366,0.47985
49,2144.5,217.591,2148,292,0.569184
50,2164,237.59,2206,326,0.481738
51,2313.5,235.614,2324,314,0.523692
52,1862,218.863,1860,294,0.488476
53,2288,241.153,2323,276,0.494402
54,2038.5,225.027,2064,308,0.505885
55,2504.5,249.52,2528,338,0.505499
56,2251.5,236.519,2310,306,0.505766
57,2458,243.217,2518,284,0.52216
58,2034.5,217.105,2073,286,0.542408
59,2663,252.781,2652,338,0.523711
60,2319.5,237.471,2341,276,0.516872
61,2269.5,239.023,2303,324,0.499184
62,2480.5,243.802,2472,326,0.524416
63,2251,233.874,2277,314,0.517158
64,2023.5,225.698,2005,288,0.499178
65,2538,248.847,2544,338,0.515035
66,1843.5,206.959,1877,282,0.54086
67,2303,232.37,2302,310,0.535972
68,2396.5,234.078,2458,308,0.549623
69,2225.5,232.116,2292,270,0.51907
70,2408,243.102,2385,292,0.512024
71,2317.5,242.458,2354,276,0.495402
72,1846,214.843,1861,294,0.502574
73,2464.5,253.855,2533,290,0.480582
74,1970,220.562,2031,250,0.508878
75,2303.5,238.556,2279,294,0.508647
76,2245,229.1,2305,282,0.537497
77,2051,215.275,2043,272,0.556148
78,1943.5,225.349,1948,304,0.480933
79,2421.5,236.478,2429,306,0.544145
80,1927,220.602,1968,262,0.497591
81,2173,229.617,2202,310,0.517919
82,1887,214.17,1948,250,0.51697
