ID,PolyArea,PolyPerimeter,DigitalArea,DigitalPerimeter,Circularity
0,2990,230.477,2995,302,0.707339
1,2759,211.311,2802,274,0.776458
2,2800.5,213.992,2861,280,0.768508
3,3117.5,228.108,3165,294,0.752897
4,3043.5,226.178,3062,300,0.747626
5,3156,230.275,3167,304,0.747916
6,2497,220.129,2524,284,0.647553
7,2633.5,212.559,2639,274,0.732462
8,3271,237.782,3337,292,0.726997
9,2400.5,201.331,2427,264,0.744204
10,2724.5,225.111,2761,298,0.675624
11,3373,237.293,3417,296,0.752759
12,2382.5,205.101,2424,242,0.711717
13,2552.5,210.208,2600,270,0.725904
14,1152,126.53,1170,158,0.904224
15,3000,221.909,3022,290,0.765561
16,2481,205.259,2482,260,0.739998
17,2801,218.154,2828,288,0.739597
18,2462.5,214.144,2482,282,0.674797
19,2974,220.944,2984,278,0.765571
20,2664,220.935,2704,262,0.685827
21,3032.5,226.365,3049,298,0.743693
22,3011,224.388,3037,278,0.751486
23,2680,222.657,2670,286,0.679315
24,2590.5,214.256,2599,280,0.709136
25,2521.5,210.405,2526,280,0.715744
26,3180,227.752,3173,292,0.770393
27,2999.5,225.17,3004,294,0.743425
28,1749.5,161.073,1786,206,0.84738
29,1278,139.107,1311,190,0.829934
30,3001,223.727,3013,292,0.753426
31,3076.5,247.913,3080,336,0.629028
32,2907.5,225.082,2951,286,0.721186
33,2417,211.511,2436,280,0.678925
34,3310.5,237.583,3349,316,0.737012
35,2793.5,214.659,2819,258,0.761837
36,2707,217.628,2708,290,0.718236
37,3262,237.634,3318,306,0.725897
38,3193.5,233.695,3187,298,0.734818
39,2421.5,209.054,2427,252,0.696268
40,2971,225,3015,272,0.737474
41,2936.5,223.066,2949,272,0.741606
42,3033.5,224.933,3047,286,0.753441
43,3101.5,228.388,3114,276,0.747195
44,2360.5,197.182,2388,262,0.762917
45,2948,225.348,2955,292,0.729507
46,2457,228.529,2443,294,0.591196
47,3208.5,228.406,3242,290,0.77285
48,3164,262.232,3128,344,0.578195
49,2441.5,205.459,2472,272,0.726799
50,2145.5,194.569,2146,238,0.712182
51,2987,231.778,3020,308,0.698717
52,3070.5,225.34,3097,278,0.759873
53,1769.5,178.772,1809,226,0.695766
54,3033.5,227.198,3063,300,0.73849
55,3121.5,226.036,3135,274,0.767746
56,2213.5,204.934,2232,250,0.66231
57,2575.5,209.93,2581,276,0.73438
58,2846.5,213.924,2854,264,0.781629
59,3290.5,237.155,3342,300,0.735203
60,2993,224.623,3018,292,0.745429
61,2835,224.259,2869,292,0.708377
62,3075.5,228.856,3098,274,0.737909
63,2839.5,218.574,2862,284,0.746886
64,2643,233.859,2694,304,0.607295
65,2911.5,218.666,2917,276,0.765184
66,3158.5,230.508,3162,292,0.746999
67,2809,212.349,2830,262,0.782816
68,2775,216.051,2828,272,0.747071
69,2397,209.149,2392,260,0.688602
70,3154.5,230.738,3189,304,0.744566
71,2981.5,224.417,3017,276,0.743929
72,2955.5,224.72,2990,288,0.735455
73,3023,228.417,3033,286,0.728098
74,2863.5,213.833,2886,278,0.786969
75,2351.5,198.206,2392,252,0.752176
76,2637.5,213.297,2666,282,0.728507
77,2337.5,191.532,2372,246,0.800716
78,3343.5,237.069,3402,282,0.74759
79,2938.5,221.219,2965,292,0.754552
80,2334.5,215.136,2365,284,0.633835
81,3040.5,222.891,3035,276,0.769074
82,2792.5,223.88,2820,268,0.700119
