ID,PolyArea,PolyPerimeter,DigitalArea,DigitalPerimeter,Circularity
0,2990,230.477,2995,302,0.707339
1,2759,211.311,2802,274,0.776458
2,2800.5,213.992,2861,280,0.768508
3,3117.5,228.108,3165,294,0.752897
4,3043.5,226.178,3062,300,0.747626
5,3156,230.275,3167,304,0.747916
6,2633.5,212.559,2639,274,0.732462
7,3271,237.782,3337,292,0.726997
8,2400.5,201.331,2427,264,0.744204
9,2724.5,225.111,2761,298,0.675624
10,3373,237.293,3417,296,0.752759
11,2382.5,205.101,2424,242,0.711717
12,2552.5,210.208,2600,270,0.725904
13,3000,221.909,3022,290,0.765561
14,2481,205.259,2482,260,0.739998
15,2801,218.154,2828,288,0.739597
16,2462.5,214.144,2482,282,0.674797
17,2974,220.944,2984,278,0.765571
18,2664,220.935,2704,262,0.685827
19,3032.5,226.365,3049,298,0.743693
20,3011,224.388,3037,278,0.751486
21,2680,222.657,2670,286,0.679315
22,2590.5,214.256,2599,280,0.709136
23,2521.5,210.405,2526,280,0.715744
24,3180,227.752,3173,292,0.770393
25,2999.5,225.17,3004,294,0.743425
26,3001,223.727,3013,292,0.753426
27,2907.5,225.082,2951,286,0.721186
28,2417,211.511,2436,280,0.678925
29,3310.5,237.583,3349,316,0.737012
30,2793.5,214.659,2819,258,0.761837
31,2707,217.628,2708,290,0.718236
32,3262,237.634,3318,306,0.725897
33,3193.5,233.695,3187,298,0.734818
34,2421.5,209.054,2427,252,0.696268
35,2971,225,3015,272,0.737474
36,2936.5,223.066,2949,272,0.741606
37,3033.5,224.933,3047,286,0.753441
38,3101.5,228.388,3114,276,0.747195
39,2360.5,197.182,2388,262,0.762917
40,2948,225.348,2955,292,0.729507
41,3208.5,228.406,3242,290,0.77285
42,2441.5,205.459,2472,272,0.726799
43,2145.5,194.569,2146,238,0.712182
44,2987,231.778,3020,308,0.698717
45,3070.5,225.34,3097,278,0.759873
46,1769.5,178.772,1809,226,0.695766
47,3033.5,227.198,3063,300,0.73849
48,3121.5,226.036,3135,274,0.767746
49,2213.5,204.934,2232,250,0.66231
50,2575.5,209.93,2581,276,0.73438
51,2846.5,213.924,2854,264,0.781629
52,3290.5,237.155,3342,300,0.735203
53,2993,224.623,3018,292,0.745429
54,2835,224.259,2869,292,0.708377
55,3075.5,228.856,3098,274,0.737909
56,2839.5,218.574,2862,284,0.746886
57,2911.5,218.666,2917,276,0.765184
58,3158.5,230.508,3162,292,0.746999
59,2809,212.349,2830,262,0.782816
60,2775,216.051,2828,272,0.747071
61,2397,209.149,2392,260,0.688602
62,3154.5,230.738,3189,304,0.744566
63,2981.5,224.417,3017,276,0.743929
64,2955.5,224.72,2990,288,0.735455
65,3023,228.417,3033,286,0.728098
66,2863.5,213.833,2886,278,0.786969
67,2351.5,198.206,2392,252,0.752176
68,2637.5,213.297,2666,282,0.728507
69,2337.5,191.532,2372,246,0.800716
70,3343.5,237.069,3402,282,0.74759
71,2938.5,221.219,2965,292,0.754552
72,3040.5,222.891,3035,276,0.769074
73,2792.5,223.88,2820,268,0.700119
