ID,PolyArea,PolyPerimeter,DigitalArea,DigitalPerimeter,Circularity
0,1992.5,167.426,2013,210,0.893225
1,2137,175.665,2150,226,0.870252
2,2112.5,176.313,2141,222,0.853961
3,2264,181.058,2292,226,0.867859
4,2364.5,187.158,2382,240,0.848264
5,2008,171.185,2040,216,0.861081
6,2030.5,172.706,2046,220,0.855455
7,2299,182.804,2319,234,0.864529
8,1935,166.075,1956,216,0.881622
9,1777.5,162.176,1807,200,0.849272
10,2077,174.976,2090,224,0.852495
11,2234,181.071,2265,236,0.856242
12,2152,175.925,2155,224,0.873767
13,2177,175.705,2190,218,0.886134
14,2197,177.819,2222,220,0.873143
15,2029.5,173.774,2053,218,0.844562
16,1751,162.906,1772,210,0.829127
17,2246.5,180.848,2270,234,0.863155
18,2010.5,172.569,2035,214,0.848374
19,1914,166.78,1938,216,0.864696
20,1820,166.217,1856,214,0.827808
21,2162,175.879,2176,228,0.878291
22,1921.5,165.646,1931,212,0.880007
23,1962,169.717,1981,214,0.855974
24,1842.5,160.487,1852,204,0.898958
25,2115.5,175.283,2127,228,0.865253
26,2106,174.76,2135,216,0.866529
27,2004,171.298,2024,220,0.858232
28,2137.5,177.781,2158,228,0.849851
29,2145.5,174.36,2157,230,0.886838
30,2038,173.888,2058,220,0.846979
31,2145.5,179.958,2171,234,0.832523
32,2174,177.821,2193,230,0.863982
33,2101,175.508,2115,222,0.857121
34,2112,174.704,2132,230,0.869555
35,1968.5,170.328,1987,210,0.852653
36,1999,168.666,2020,210,0.883019
37,2100.5,174.299,2100,224,0.868846
38,2164.5,180.84,2189,234,0.831719
39,1854.5,167.725,1881,216,0.828398
40,2280.5,183.032,2308,240,0.855432
41,1919,166.98,1942,212,0.864885
42,2226,179.556,2258,226,0.867629
43,2007.5,173.609,2027,220,0.836992
44,2005.5,169.753,2031,210,0.874578
45,2159,174.321,2167,218,0.892823
46,2016.5,172.19,2039,222,0.854662
47,2230,177.984,2262,224,0.884612
48,2000.5,170.413,2024,214,0.865653
49,2027,172.429,2047,226,0.856728
50,2077,174.188,2107,222,0.860224
51,2137.5,175.597,2162,218,0.87113
52,2165,181.488,2210,238,0.825986
53,2066,173.914,2078,228,0.858364
54,1973,173.459,2003,214,0.824026
55,1952.5,169.304,1964,220,0.855984
56,2138.5,177.77,2159,224,0.850358
57,2006,169.453,2014,220,0.877891
58,2063.5,169.791,2083,218,0.899463
59,2271.5,182.717,2285,238,0.855001
60,2104.5,176.946,2122,218,0.844654
61,2151,174.943,2150,226,0.883201
62,1884,165.292,1891,214,0.866534
63,2115,176,2135,224,0.858013
64,1730,159.606,1744,206,0.853411
65,1928.5,165.662,1947,214,0.883048
66,1783,160.702,1798,208,0.8676
67,1817.5,166.938,1827,216,0.819547
68,1919.5,163.738,1952,204,0.899702
69,2075.5,174.636,2094,220,0.855199
70,2139,177.544,2147,222,0.852727
71,1838.5,162.446,1880,196,0.875504
72,1962.5,167.102,1960,210,0.883194
73,2255,181.501,2280,230,0.860199
74,1991.5,171.479,2016,220,0.851072
75,2158.5,178.347,2158,226,0.852762
76,1880,168.803,1896,220,0.829106
77,2001.5,174.433,2041,218,0.826628
78,1989,172.055,2018,218,0.844323
